SRR089705	2.0
SRR089706	2.0
SRR089707	2.0
SRR089708	2.0
SRR089709	2.0
SRR089710	2.0
SRR089711	2.0
SRR089712	2.0
SRR089713	1.95
SRR089714	2.0
SRR089715	2.0
SRR089716	2.0
SRR089717	1.75
SRR089719	2.0
SRR089722	2.0
SRR089730	2.0
SRR089731	1.95
SRR089733	2.0
SRR089748	4.25
SRR089749	1.95
SRR089750	2.0
SRR089751	2.0
SRR089752	1.95
SRR089753	2.0
SRR089754	2.0
SRR089755	2.0
SRR089756	4.2
SRR089757	4.15
SRR089817	4.4
SRR090126	4.25
SRR090129	4.25
SRR090130	4.25
SRR090131	4.2
SRR090133	4.2
SRR090135	4.25
SRR090142	4.15
SRR090144	4.15
SRR090155	4.2
SRR090156	4.2
SRR090158	4.2
SRR090159	4.1
SRR090198	4.2
SRR090206	4.2
SRR090209	4.1
SRR090210	4.1
SRR090211	4.0
SRR090212	4.15
SRR090213	4.15
